                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          40                          45     -0.7278453640000000E+03      0.6460000000000000E-02     -0.7347006235770943E+03      0.2059457669875117E-06
                          40                          46     -0.7407104350000000E+03      0.3526000000000000E-02     -0.7453670706938744E+03      0.2023092286449562E-06
                          40                          47     -0.7501599470000000E+03      0.4176000000000000E-02     -0.7547295410025565E+03      0.2121734263067957E-06
                          40                          48     -0.7625129530000000E+03      0.5368000000000000E-02     -0.7653959881193366E+03      0.2069154282160792E-06
                          40                          49     -0.7718310000000000E+03      0.3115000000000000E-02     -0.7747584584280187E+03      0.2187789749189296E-06
                          40                          50     -0.7837992590000000E+03      0.9000000000000001E-04     -0.7781618288212746E+03      0.1831431684204661E-06
                          40                          51     -0.7909936230000000E+03      0.9100000000000000E-04     -0.7875242991299569E+03      0.1885702359125412E-06
                          40                          52     -0.7996284250000000E+03      0.9200000000000000E-04     -0.7981907462467370E+03      0.1879618687287885E-06
                          40                          53     -0.8063627090000000E+03      0.4650000000000000E-03     -0.8075532165554191E+03      0.1957260443219774E-06
                          40                          54     -0.8145813429999999E+03      0.1880000000000000E-03     -0.8109565869486753E+03      0.1836102242286784E-06
                          40                          55     -0.8210432890000000E+03      0.8550000000000000E-03     -0.8203190572573574E+03      0.1834633562090970E-06
                          40                          56     -0.8288934410000001E+03      0.9600000000000000E-04     -0.8309855043741375E+03      0.1881601230767069E-06
                          40                          57     -0.8344686120000000E+03      0.3880000000000000E-03     -0.8403479746828195E+03      0.1905571492842186E-06
                          40                          58     -0.8408839530000000E+03      0.8428000000000000E-02     -0.8437513450760755E+03      0.2035753101473068E-06
                          40                          59     -0.8452891850000000E+03      0.1049400000000000E-01     -0.8531138153847576E+03      0.1982870909286550E-06
                          40                          60     -0.8521173490000000E+03      0.8100000000000000E-02     -0.8565171857780138E+03      0.2355349361646020E-06
                          40                          61     -0.8569771410000000E+03      0.8383000000000000E-02     -0.8658796560866958E+03      0.2243181623982547E-06
                          40                          62     -0.8634702590000001E+03      0.8772000000000000E-02     -0.8765461032034759E+03      0.2381847969957089E-06
                          40                          63     -0.8677692340000000E+03      0.9270000000000000E-02     -0.8786454967886341E+03      0.2632767171659339E-06
                          40                          64     -0.8737492569999999E+03      0.9360000000000000E-02     -0.8893119439054142E+03      0.2800382499095819E-06
                          40                          65     -0.8775612440000000E+03      0.1207500000000000E-01     -0.8986744142140963E+03      0.2668185303483705E-06
                          40                          66     -0.8827177490000000E+03      0.4331160000000000E+00     -0.9020777846073524E+03      0.3287947225429815E-06
                          40                          67     -0.8866188600000000E+03      0.1122430000000000E+01     -0.9114402549160345E+03      0.3127998475019595E-06
                          40                          68     -0.8916580490000000E+03      0.4320000000000000E+00     -0.9148436253092905E+03      0.3818188601928555E-06
                          40                          69     -0.8945740489999999E+03      0.5450000000000000E+00     -0.9242060956179726E+03      0.3639924248173226E-06
                          40                          70     -0.8993720489999999E+03      0.5500000000000000E+00     -0.9276094660112287E+03      0.4375619255522430E-06
                          40                          71     -0.9021100490000000E+03      0.6660000000000000E+00     -0.9369719363199108E+03      0.4184881722566358E-06
                          40                          72     -0.9064300490000001E+03      0.6720000000000000E+00     -0.9403753067131670E+03      0.4951064124551026E-06
                          41                          38     -0.6371100480000000E+03      0.4740000000000000E+00     -0.6702487146175245E+03      0.1880513003902676E-06
                          41                          39     -0.6519760480000000E+03      0.4000000000000000E+00     -0.6796111849262068E+03      0.2996470034705088E-06
                          41                          40     -0.6679840480000000E+03      0.4050000000000000E+00     -0.6902776320429867E+03      0.1925319764821299E-06
                          41                          41     -0.6817260480000000E+03      0.3280000000000000E+00     -0.6996401023516689E+03      0.3040646373312522E-06
                          41                          42     -0.6952952800000000E+03      0.1508940000000000E+00     -0.7103065494684489E+03      0.1975262147232155E-06
                          41                          43     -0.7070292160000000E+03      0.1302000000000000E-01     -0.7196690197771311E+03      0.3088123278093646E-06
                          41                          44     -0.7201614830000000E+03      0.4080000000000000E-02     -0.7303354668939111E+03      0.2029961137134647E-06
                          41                          45     -0.7310871400000000E+03      0.5504000000000000E-02     -0.7396979372025933E+03      0.3138750979033103E-06
                          41                          46     -0.7438989070000000E+03      0.6786000000000000E-02     -0.7503643843193732E+03      0.2089043130425497E-06
                          41                          47     -0.7542693600000000E+03      0.5878400000000000E-01     -0.7597268546280554E+03      0.3192379574952020E-06
                          41                          48     -0.7667923160000000E+03      0.2367400000000000E-01     -0.7703933017448354E+03      0.2152147183115293E-06
                          41                          49     -0.7768998880000000E+03      0.3330000000000000E-02     -0.7797557720535176E+03      0.3248860462881191E-06
                          41                          50     -0.7889476750000000E+03      0.2912000000000000E-02     -0.7904222191702977E+03      0.2218930172248869E-06
                          41                          51     -0.7968342720000001E+03      0.1748000000000000E-02     -0.7925216127554559E+03      0.2998642443643649E-06
                          41                          52     -0.8056651600000000E+03      0.1488000000000000E-02     -0.8031880598722358E+03      0.1905191988783354E-06
                          41                          53     -0.8128927420000000E+03      0.1504000000000000E-02     -0.8125505301809180E+03      0.3057121327870940E-06
                          41                          54     -0.8213811880000000E+03      0.4750000000000000E-03     -0.8232169772976980E+03      0.1977877012720977E-06
                          41                          55     -0.8282691040000000E+03      0.1920000000000000E-03     -0.8253163708828563E+03      0.2923750241535056E-06
                          41                          56     -0.8363433440000000E+03      0.4268000000000000E-02     -0.8359828179996363E+03      0.1839474203750159E-06
                          41                          57     -0.8423335460000000E+03      0.4998000000000000E-02     -0.8453452883083185E+03      0.2982075977432333E-06
                          41                          58     -0.8492155630000000E+03      0.1197900000000000E-01     -0.8560117354250984E+03      0.1912128045238745E-06
                          41                          59     -0.8547489480000000E+03      0.8000000000000000E-02     -0.8581111290102565E+03      0.2976686792515510E-06
                          41                          60     -0.8619143830000000E+03      0.3737000000000000E-02     -0.8687775761270366E+03      0.1973186254311822E-06
                          41                          61     -0.8673987040000000E+03      0.2550000000000000E-02     -0.8781400464357189E+03      0.3032400579217636E-06
                          41                          62     -0.8741941409999999E+03      0.3914000000000000E-02     -0.8815434168289748E+03      0.2220406889229478E-06
                          41                          63     -0.8790557840000000E+03      0.2704000000000000E-02     -0.8909058871376569E+03      0.3151016163462362E-06
                          41                          64     -0.8852237080000000E+03      0.3990000000000000E-02     -0.8943092575309130E+03      0.2601242383936253E-06
                          41                          65     -0.8895827740000000E+03      0.4134000000000000E-02     -0.9036717278395952E+03      0.3385537605562624E-06
                          41                          66     -0.8951745710000000E+03      0.8024999999999999E-02     -0.9143381749563752E+03      0.2638457443562382E-06
                          41                          67     -0.8990678680000000E+03      0.8208000000000000E-02     -0.9164375685415334E+03      0.3714073144362183E-06
                          41                          68     -0.9042832180000000E+03      0.2584390000000000E+00     -0.9271040156583134E+03      0.3092454580384765E-06
                          41                          69     -0.9079746480000000E+03      0.8383100000000000E+00     -0.9292034092434715E+03      0.4114161663253170E-06
                          41                          70     -0.9126490480000000E+03      0.3330000000000000E+00     -0.9398698563602514E+03      0.3600639583284021E-06
                          41                          71     -0.9160560480000000E+03      0.3360000000000000E+00     -0.9419692499454097E+03      0.4567036838893225E-06
                          41                          72     -0.9203940480000000E+03      0.4520000000000000E+00     -0.9526356970621897E+03      0.4143120552481762E-06
                          41                          73     -0.9232960480000000E+03      0.4560000000000000E+00     -0.9619981673708719E+03      0.4587716425506786E-06
                          41                          74     -0.9273710480000000E+03      0.4600000000000000E+00     -0.9654015377641280E+03      0.4708057225947646E-06
                          42                          39     -0.6525878340000000E+03      0.4860000000000000E+00     -0.6858033464427239E+03      0.1906650582513858E-06
                          42                          40     -0.6692558340000000E+03      0.4100000000000000E+00     -0.6964697935595038E+03      0.1941039613613457E-06
                          42                          41     -0.6833118340000000E+03      0.4150000000000000E+00     -0.7058322638681860E+03      0.1952604313614196E-06
                          42                          42     -0.6991898340000000E+03      0.3360000000000000E+00     -0.7164987109849660E+03      0.1968016412071954E-06
                          42                          43     -0.7106029690000000E+03      0.1581000000000000E-01     -0.7258611812936482E+03      0.2003568836302177E-06
                          42                          44     -0.7252748080000000E+03      0.3698000000000000E-02     -0.7365276284104282E+03      0.2000704808127531E-06
                          42                          45     -0.7361207220000000E+03      0.2871000000000000E-02     -0.7458900987191104E+03      0.2059172132816954E-06
                          42                          46     -0.7499937380000000E+03      0.3784000000000000E-02     -0.7565565458358903E+03      0.2038830099556321E-06
                          42                          47     -0.7603934100000000E+03      0.3916000000000000E-02     -0.7659190161445725E+03      0.2119049073960003E-06
                          42                          48     -0.7736223540000000E+03      0.3420000000000000E-02     -0.7765854632613525E+03      0.2082093642217184E-06
                          42                          49     -0.7837299819999999E+03      0.6279000000000000E-02     -0.7859479335700348E+03      0.2182848001497982E-06
                          42                          50     -0.7964009940000000E+03      0.1840000000000000E-03     -0.7966143806868149E+03      0.2130182388805654E-06
                          42                          51     -0.8044708710000000E+03      0.1860000000000000E-03     -0.8059768509954970E+03      0.2250235350346468E-06
                          42                          52     -0.8141491360000000E+03      0.1880000000000000E-03     -0.8093802213887529E+03      0.1866278847810610E-06
                          42                          53     -0.8215182340000000E+03      0.9500000000000001E-04     -0.8187426916974351E+03      0.1924989789631475E-06
                          42                          54     -0.8306725860000000E+03      0.9600000000000000E-04     -0.8294091388142151E+03      0.1917260327707827E-06
                          42                          55     -0.8374937580000000E+03      0.1940000000000000E-03     -0.8387716091228973E+03      0.1998661246007202E-06
                          42                          56     -0.8461362980000000E+03      0.1960000000000000E-03     -0.8421749795161534E+03      0.1840317732462033E-06
                          42                          57     -0.8520617370000000E+03      0.1980000000000000E-03     -0.8515374498248356E+03      0.1844515057821960E-06
                          42                          58     -0.8603560340000000E+03      0.3000000000000000E-03     -0.8622038969416155E+03      0.1889440958228573E-06
                          42                          59     -0.8657542490000000E+03      0.3030000000000000E-03     -0.8715663672502977E+03      0.1918755908508965E-06
                          42                          60     -0.8738717339999999E+03      0.8262000000000000E-02     -0.8749697376435538E+03      0.2011574455705761E-06
                          42                          61     -0.8793376180000000E+03      0.9270000000000000E-02     -0.8843322079522360E+03      0.1963358276699211E-06
                          42                          62     -0.8867981940000000E+03      0.8944000000000001E-02     -0.8949986550690160E+03      0.2054258241036388E-06
                          42                          63     -0.8918567490000000E+03      0.9030000000000000E-02     -0.8970980486541741E+03      0.2197143517307087E-06
                          42                          64     -0.8987254200000000E+03      0.9116000000000001E-02     -0.9077644957709542E+03      0.2337088796149279E-06
                          42                          65     -0.9032137940000000E+03      0.9202000000000000E-02     -0.9171269660796363E+03      0.2250156764014336E-06
                          42                          66     -0.9094894860000001E+03      0.9180000000000001E-02     -0.9205303364728923E+03      0.2739252377570036E-06
                          42                          67     -0.9134708270000000E+03      0.1122700000000000E-01     -0.9298928067815744E+03      0.2607955490342018E-06
                          42                          68     -0.9194187740000000E+03      0.2420000000000000E-01     -0.9332961771748305E+03      0.3216292207134749E-06
                          42                          69     -0.9228872460000000E+03      0.1254300000000000E-01     -0.9426586474835127E+03      0.3056005668071757E-06
                          42                          70     -0.9284818340000000E+03      0.2240000000000000E+00     -0.9460620178767686E+03      0.3739663081354305E-06
                          42                          71     -0.9315748340000000E+03      0.3390000000000000E+00     -0.9554244881854507E+03      0.3560396308514599E-06
                          42                          72     -0.9369698340000000E+03      0.3420000000000000E+00     -0.9660909353022307E+03      0.3747946445152038E-06
                          42                          73     -0.9400148340000000E+03      0.3450000000000000E+00     -0.9681903288873890E+03      0.4100388460962947E-06
                          42                          74     -0.9448258340000000E+03      0.4640000000000000E+00     -0.9788567760041690E+03      0.4295719895442533E-06
                          42                          75     -0.9475898340000000E+03      0.4680000000000000E+00     -0.9809561695893273E+03      0.4663631805216597E-06
                          42                          76     -0.9520318340000000E+03      0.4720000000000000E+00     -0.9916226167061075E+03      0.4864034201276738E-06
                          43                          40     -0.6674524030000000E+03      0.4980000000000000E+00     -0.7012488493508437E+03      0.1933787723070428E-06
                          43                          41     -0.6819634030000000E+03      0.4200000000000000E+00     -0.7106113196595259E+03      0.3032929587314451E-06
                          43                          42     -0.6981584030000000E+03      0.4250000000000000E+00     -0.7212777667763058E+03      0.1980726244905613E-06
                          43                          43     -0.7119634030000000E+03      0.2580000000000000E+00     -0.7306402370849880E+03      0.3078729289927258E-06
                          43                          44     -0.7261371310000000E+03      0.4176000000000000E-02     -0.7413066842017680E+03      0.2032558798935480E-06
                          43                          45     -0.7381997070000000E+03      0.1490720000000000E+00     -0.7506691545104502E+03      0.3127740960216615E-06
                          43                          46     -0.7519845780000001E+03      0.3827000000000000E-02     -0.7613356016272302E+03      0.2088921108973326E-06
                          43                          47     -0.7633857130000000E+03      0.9900000000000000E-03     -0.7706980719359124E+03      0.3179816079947027E-06
                          43                          48     -0.7767190080000000E+03      0.2366000000000000E-02     -0.7813645190526925E+03      0.2149456871493548E-06
                          43                          49     -0.7877293590000000E+03      0.3128000000000000E-02     -0.7907269893613745E+03      0.3234806702861048E-06
                          43                          50     -0.8004810639999999E+03      0.1023000000000000E-02     -0.8013934364781546E+03      0.2213823750848172E-06
                          43                          51     -0.8091045870000000E+03      0.4042000000000000E-02     -0.8107559067868367E+03      0.3292566752849822E-06
                          43                          52     -0.8190389530000000E+03      0.5035000000000000E-02     -0.8214223539036168E+03      0.2281697541686953E-06
                          43                          53     -0.8269105390000000E+03      0.5184000000000000E-02     -0.8235217474887750E+03      0.3024709155530835E-06
                          43                          54     -0.8363847280000000E+03      0.4074000000000000E-02     -0.8341881946055549E+03      0.1945085225017050E-06
                          43                          55     -0.8436637950000001E+03      0.3332000000000000E-02     -0.8435506649142371E+03      0.3084836177894993E-06
                          43                          56     -0.8526307930000000E+03      0.8910000000000000E-03     -0.8542171120310171E+03      0.2019606881623479E-06
                          43                          57     -0.8593952030000000E+03      0.1400000000000000E-02     -0.8635795823396993E+03      0.3147672207816386E-06
                          43                          58     -0.8677901390000000E+03      0.2403800000000000E-01     -0.8669829527329554E+03      0.1849753302779754E-06
                          43                          59     -0.8740897030000000E+03      0.9180000000000001E-02     -0.8763454230416376E+03      0.2991207529198264E-06
                          43                          60     -0.8821920120000000E+03      0.9785000000000000E-02     -0.8870118701584177E+03      0.1925453208121761E-06
                          43                          61     -0.8881628990000000E+03      0.2485600000000000E-01     -0.8891112637435758E+03      0.2964172239314226E-06
                          43                          62     -0.8960209180000001E+03      0.3528000000000000E-01     -0.8997777108603558E+03      0.1953383691319865E-06
                          43                          63     -0.9015783390000000E+03      0.1229600000000000E-01     -0.9091401811690380E+03      0.3022303845879796E-06
                          43                          64     -0.9086233820000000E+03      0.8666999999999999E-02     -0.9125435515622939E+03      0.2173374809157060E-06
                          43                          65     -0.9138675310000000E+03      0.8748000000000001E-02     -0.9219060218709760E+03      0.3120717478787993E-06
                          43                          66     -0.9202988050000000E+03      0.9701000000000000E-02     -0.9325724689877562E+03      0.2228389154902944E-06
                          43                          67     -0.9251218930000000E+03      0.9460000000000000E-02     -0.9346718625729143E+03      0.3338105309112041E-06
                          43                          68     -0.9311832820000000E+03      0.1054500000000000E-01     -0.9453383096896943E+03      0.2576651102741205E-06
                          43                          69     -0.9354889550000000E+03      0.5488000000000000E-02     -0.9474377032748525E+03      0.3653290154606821E-06
                          43                          70     -0.9411128350000000E+03      0.3390000000000000E-02     -0.9581041503916325E+03      0.3018618228849406E-06
                          43                          71     -0.9449729290000000E+03      0.4332000000000000E+00     -0.9674666207003147E+03      0.3690116509356167E-06
                          43                          72     -0.9507640080000000E+03      0.7894750000000000E+00     -0.9708699910935705E+03      0.3519160914840696E-06
                          43                          73     -0.9539834030000000E+03      0.3480000000000000E+00     -0.9802324614022527E+03      0.4072604107405043E-06
                          43                          74     -0.9589324030000000E+03      0.3510000000000000E+00     -0.9836358317955088E+03      0.4056654225375748E-06
                          43                          75     -0.9624094030000000E+03      0.3540000000000000E+00     -0.9929983021041912E+03      0.4511625095838299E-06
                          43                          76     -0.9671154030000000E+03      0.4760000000000000E+00     -0.9964016724974473E+03      0.4618214578242489E-06
                          43                          77     -0.9703234030000000E+03      0.4800000000000000E+00     -0.1005764142806129E+04      0.4992287073262061E-06
                          43                          78     -0.9746594030000000E+03      0.4840000000000000E+00     -0.1009167513199385E+04      0.5196044717267166E-06
                          44                          41     -0.6824267540000000E+03      0.5100000000000000E+00     -0.7165852233418839E+03      0.1961889743445997E-06
                          44                          42     -0.6993147540000000E+03      0.4300000000000000E+00     -0.7272516704586640E+03      0.1995320362016474E-06
                          44                          43     -0.7131897540000000E+03      0.4350000000000000E+00     -0.7366141407673460E+03      0.2009657039708526E-06
                          44                          44     -0.7301007540000001E+03      0.2640000000000000E+00     -0.7472805878841261E+03      0.2024628374223907E-06
                          44                          45     -0.7420477540000001E+03      0.2670000000000000E+00     -0.7566430581928082E+03      0.2062209684676519E-06
                          44                          46     -0.7567558739999999E+03      0.3690000000000000E-02     -0.7673095053095883E+03      0.2059420810533801E-06
                          44                          47     -0.7681832020000001E+03      0.2184000000000000E-02     -0.7766719756182705E+03      0.2119191700722093E-06
                          44                          48     -0.7823158700000000E+03      0.2760000000000000E-02     -0.7873384227350505E+03      0.2099425019027594E-06
                          44                          49     -0.7933027200000000E+03      0.2046000000000000E-02     -0.7967008930437327E+03      0.2180255824383304E-06
                          44                          50     -0.8067408880000000E+03      0.3102000000000000E-02     -0.8073673401605126E+03      0.2144349332709226E-06
                          44                          51     -0.8156864040000000E+03      0.9500000000000000E-02     -0.8167298104691948E+03      0.2245068989946059E-06
                          44                          52     -0.8263803060000000E+03      0.1920000000000000E-03     -0.8273962575859748E+03      0.2193891525434690E-06
                          44                          53     -0.8344918170000000E+03      0.2716000000000000E-02     -0.8367587278946570E+03      0.2313316103343785E-06
                          44                          54     -0.8446674280000000E+03      0.6468000000000000E-02     -0.8401620982879131E+03      0.1904761798220831E-06
                          44                          55     -0.8521392420000000E+03      0.2970000000000000E-03     -0.8495245685965951E+03      0.1965475949129366E-06
                          44                          56     -0.8618126540000000E+03      0.3000000000000000E-03     -0.8601910157133752E+03      0.1957899595087958E-06
                          44                          57     -0.8686146189999999E+03      0.4040000000000000E-03     -0.8695534860220573E+03      0.2040715483054589E-06
                          44                          58     -0.8778343080000000E+03      0.4080000000000000E-03     -0.8802199331388374E+03      0.2015664023452787E-06
                          44                          59     -0.8840663489999999E+03      0.4120000000000000E-03     -0.8823193267239957E+03      0.1855194453258036E-06
                          44                          60     -0.8929662499999999E+03      0.2496000000000000E-02     -0.8929857738407757E+03      0.1899860899992903E-06
                          44                          61     -0.8988762540000000E+03      0.2520000000000000E-02     -0.9023482441494579E+03      0.1932226122215669E-06
                          44                          62     -0.9073363940000000E+03      0.5406000000000000E-02     -0.9057516145427139E+03      0.1988857423225165E-06
                          44                          63     -0.9129469160000000E+03      0.8666999999999999E-02     -0.9151140848513960E+03      0.1943267101557993E-06
                          44                          64     -0.9208170540000000E+03      0.8640000000000000E-02     -0.9257805319681761E+03      0.2035058198185728E-06
                          44                          65     -0.9259654970000000E+03      0.8938000000000000E-02     -0.9278799255533343E+03      0.2149090201768795E-06
                          44                          66     -0.9333709640000000E+03      0.8910000000000000E-02     -0.9385463726701144E+03      0.2291965694464749E-06
                          44                          67     -0.9381549810000000E+03      0.9657000000000001E-02     -0.9479088429787964E+03      0.2206063782486955E-06
                          44                          68     -0.9450718580000000E+03      0.9632000000000000E-02     -0.9513122133720524E+03      0.2676614287849419E-06
                          44                          69     -0.9493804980000000E+03      0.3683800000000000E-01     -0.9606746836807345E+03      0.2544519904372146E-06
                          44                          70     -0.9558055140000000E+03      0.3534000000000000E-02     -0.9713411307975146E+03      0.2703062976531169E-06
                          44                          71     -0.9598446590000000E+03      0.8855000000000000E-01     -0.9734405243826727E+03      0.2980261415011685E-06
                          44                          72     -0.9657951820000000E+03      0.3712000000000000E-02     -0.9841069714994528E+03      0.3159631184238798E-06
                          44                          73     -0.9692875080000000E+03      0.4331340000000000E+00     -0.9862063650846108E+03      0.3476901938016788E-06
                          44                          74     -0.9751467540000000E+03      0.2360000000000000E+00     -0.9968728122013911E+03      0.3668719315026840E-06
                          44                          75     -0.9785327540000000E+03      0.3570000000000000E+00     -0.9989722057865492E+03      0.4011888395516302E-06
                          44                          76     -0.9839967540000000E+03      0.3600000000000000E+00     -0.1009638652903329E+04      0.4211323548625040E-06
                          44                          77     -0.9871157540000000E+03      0.3630000000000000E+00     -0.1011738046488487E+04      0.4571778902821950E-06
                          44                          78     -0.9923467540000000E+03      0.4880000000000000E+00     -0.1022404493605268E+04      0.4776034241572459E-06
                          44                          79     -0.9953157540000000E+03      0.4920000000000000E+00     -0.1031766963913950E+04      0.4582992314449549E-06
                          44                          80     -0.1000308754000000E+04      0.6200000000000000E+00     -0.1035170334307206E+04      0.5355863380339107E-06
                          45                          43     -0.7117898840000000E+03      0.4400000000000000E+00     -0.7411749387245266E+03      0.3071007226198426E-06
                          45                          44     -0.7288688840000000E+03      0.3560000000000000E+00     -0.7518413858413066E+03      0.2039376424041031E-06
                          45                          45     -0.7428198840000000E+03      0.2700000000000000E+00     -0.7612038561499887E+03      0.3118093786618715E-06
                          45                          46     -0.7577178840000000E+03      0.2730000000000000E+00     -0.7718703032667689E+03      0.2092507188170505E-06
                          45                          47     -0.7702245240000000E+03      0.4416000000000000E-02     -0.7812327735754511E+03      0.3168313377090355E-06
                          45                          48     -0.7843086090000000E+03      0.2604000000000000E-02     -0.7918992206922311E+03      0.2149975297687916E-06
                          45                          49     -0.7962756720000000E+03      0.3384000000000000E-02     -0.8012616910009133E+03      0.3221519480503154E-06
                          45                          50     -0.8097800340000000E+03      0.3895000000000000E-02     -0.8119281381176933E+03      0.2211442638483626E-06
                          45                          51     -0.8191984920000000E+03      0.9984000000000000E-02     -0.8212906084263755E+03      0.3277566656162022E-06
                          45                          52     -0.8301796020000000E+03      0.3550200000000000E-01     -0.8319570555431554E+03      0.2276585298303307E-06
                          45                          53     -0.8388285780000000E+03      0.1185800000000000E-01     -0.8413195258518376E+03      0.3336311724407815E-06
                          45                          54     -0.8493060210000000E+03      0.6732000000000000E-02     -0.8519859729686176E+03      0.2345097015500694E-06
                          45                          55     -0.8573870840000000E+03      0.1810000000000000E-01     -0.8540853665537757E+03      0.3050739849401973E-06
                          45                          56     -0.8672797000000000E+03      0.5858000000000000E-02     -0.8647518136705557E+03      0.1986167396187364E-06
                          45                          57     -0.8747219460000000E+03      0.6426000000000000E-02     -0.8741142839792381E+03      0.3112213636202629E-06
                          45                          58     -0.8840416600000000E+03      0.2266000000000000E-02     -0.8847807310960180E+03      0.2061996040039283E-06
                          45                          59     -0.8910405800000000E+03      0.2288000000000000E-02     -0.8941432014047002E+03      0.3176320374350514E-06
                          45                          60     -0.9000038039999999E+03      0.2520000000000000E-02     -0.8975465717979563E+03      0.1860852236667237E-06
                          45                          61     -0.9065865700000001E+03      0.5406000000000000E-02     -0.9069090421066385E+03      0.2999443503071023E-06
                          45                          62     -0.9151589050000000E+03      0.1209100000000000E-01     -0.9175754892234183E+03      0.1939088740096730E-06
                          45                          63     -0.9213982440000000E+03      0.1404000000000000E-01     -0.9196748828085765E+03      0.2950224391877979E-06
                          45                          64     -0.9294373620000000E+03      0.4033000000000000E-02     -0.9303413299253566E+03      0.1933021206181155E-06
                          45                          65     -0.9353378240000000E+03      0.1782000000000000E-01     -0.9397038002340387E+03      0.3010537951042832E-06
                          45                          66     -0.9428849250000000E+03      0.6882000000000000E-02     -0.9503702473508188E+03      0.2006038990300786E-06
                          45                          67     -0.9483833240000000E+03      0.4412800000000000E-01     -0.9524696409359769E+03      0.3088051789233842E-06
                          45                          68     -0.9554906570000001E+03      0.7119000000000000E-02     -0.9631360880527570E+03      0.2183176753308689E-06
                          45                          69     -0.9605050199999999E+03      0.7159200000000000E-01     -0.9652354816379150E+03      0.3287598116867014E-06
                          45                          70     -0.9670955540000000E+03      0.7360000000000000E-02     -0.9759019287546951E+03      0.2511541651751762E-06
                          45                          71     -0.9716732240000000E+03      0.7377599999999999E-01     -0.9852643990633771E+03      0.3335295123276758E-06
                          45                          72     -0.9779057610000000E+03      0.8892000000000001E-02     -0.9886677694566333E+03      0.2940907109634117E-06
                          45                          73     -0.9819671280000000E+03      0.2419000000000000E-01     -0.9980302397653156E+03      0.3627946188740298E-06
                          45                          74     -0.9879737699999999E+03      0.9282000000000000E-02     -0.1001433610158572E+04      0.3433589989096698E-06
                          45                          75     -0.9920298840000000E+03      0.2400000000000000E+00     -0.1010796080467254E+04      0.3999913244578290E-06
                          45                          76     -0.9975438030000000E+03      0.6193990000000000E+00     -0.1021462527584034E+04      0.3459138494473940E-06
                          45                          77     -0.1001489884000000E+04      0.2440000000000000E+00     -0.1023561921169192E+04      0.4431267404098563E-06
                          45                          78     -0.1006747884000000E+04      0.3690000000000000E+00     -0.1034228368285972E+04      0.3983943670997916E-06
                          45                          79     -0.1010345884000000E+04      0.3720000000000000E+00     -0.1036327761871130E+04      0.4906370152752038E-06
                          45                          80     -0.1015619884000000E+04      0.5000000000000000E+00     -0.1046994208987910E+04      0.4536241577576450E-06
                          45                          81     -0.1018957884000000E+04      0.5040000000000000E+00     -0.1049093602573068E+04      0.5413715708431846E-06
                          45                          82     -0.1023743884000000E+04      0.6350000000000000E+00     -0.1059760049689848E+04      0.5107120573600965E-06
                          46                          44     -0.7300327890000000E+03      0.3600000000000000E+00     -0.7575970316895055E+03      0.2055001357730616E-06
                          46                          45     -0.7443337890000000E+03      0.3640000000000000E+00     -0.7669595019981878E+03      0.2069871871357800E-06
                          46                          46     -0.7609787890000000E+03      0.2760000000000000E+00     -0.7776259491149679E+03      0.2086026614480255E-06
                          46                          47     -0.7735297890000001E+03      0.2790000000000000E+00     -0.7869884194236499E+03      0.2123444531786062E-06
                          46                          48     -0.7886808970000000E+03      0.4324000000000000E-02     -0.7976548665404300E+03      0.2122324387759186E-06
                          46                          49     -0.8006158890000000E+03      0.3040000000000000E-02     -0.8070173368491121E+03      0.2181270526509307E-06
                          46                          50     -0.8149047090000000E+03      0.4224000000000000E-02     -0.8176837839658922E+03      0.2163629333307120E-06
                          46                          51     -0.8245984989999999E+03      0.4850000000000000E-02     -0.8270462542745743E+03      0.2243020921564578E-06
                          46                          52     -0.8361848910000000E+03      0.4704000000000000E-02     -0.8377127013913544E+03      0.2209660673390552E-06
                          46                          53     -0.8451178590000000E+03      0.4950000000000000E-02     -0.8470751717000364E+03      0.2308380799141855E-06
                          46                          54     -0.8562193890000000E+03      0.1760000000000000E-01     -0.8577416188168165E+03      0.2260129643543205E-06
                          46                          55     -0.8645100530000000E+03      0.4545000000000000E-02     -0.8671040891254986E+03      0.2377052436869944E-06
                          46                          56     -0.8750523690000000E+03      0.5100000000000000E-03     -0.8777705362422787E+03      0.2314745997777907E-06
                          46                          57     -0.8826777460000000E+03      0.9270000000000000E-03     -0.8798699298274369E+03      0.2007172377082259E-06
                          46                          58     -0.8926869809999999E+03      0.1352000000000000E-02     -0.8905363769442170E+03      0.2001438209183799E-06
                          46                          59     -0.8997810390000000E+03      0.1155000000000000E-02     -0.8998988472528990E+03      0.2083464584989406E-06
                          46                          60     -0.9093419410000000E+03      0.1060000000000000E-02     -0.9105652943696791E+03      0.2060569165446148E-06
                          46                          61     -0.9158784470000001E+03      0.1177000000000000E-02     -0.9126646879548372E+03      0.1866748457774139E-06
                          46                          62     -0.9251012730000000E+03      0.1080000000000000E-02     -0.9233311350716172E+03      0.1912907112366882E-06
                          46                          63     -0.9312549270000000E+03      0.1090000000000000E-02     -0.9326936053802993E+03      0.1946062918300854E-06
                          46                          64     -0.9400506090000000E+03      0.6600000000000000E-03     -0.9433600524970793E+03      0.1972240186374586E-06
                          46                          65     -0.9457769280000000E+03      0.7770000000000000E-03     -0.9454594460822376E+03      0.1922667021011967E-06
                          46                          66     -0.9541838770000001E+03      0.6496000000000000E-02     -0.9561258931990176E+03      0.2017067711236181E-06
