                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                           6                           5     -0.7343997100000000E+02      0.5500000000000000E-04     -0.7711430040087274E+02      0.2261780965489726E-06
                           6                           6     -0.9216068300000001E+02      0.1000000000000000E-05     -0.8778074751765278E+02      0.2516624804233635E-06
                           6                           7     -0.9710699200000001E+02      0.1000000000000000E-05     -0.9714321782633493E+02      0.2191690794474819E-06
                           6                           8     -0.1052834210000000E+03      0.1000000000000000E-05     -0.1078096649431150E+03      0.2439131497652711E-06
                           6                           9     -0.1065014900000000E+03      0.7950000000000000E-03     -0.1171721352517971E+03      0.2125003824898169E-06
                           6                          10     -0.1107518190000000E+03      0.3584000000000000E-02     -0.1205755056450532E+03      0.2615418615722913E-06
                           6                          11     -0.1114853630000000E+03      0.1735700000000000E-01     -0.1299379759537353E+03      0.2259070640438066E-06
                           6                          12     -0.1156693130000000E+03      0.3000600000000000E-01     -0.1333413463469914E+03      0.2920783976060946E-06
                           6                          13     -0.1162461420000000E+03      0.9838200000000000E-01     -0.1427038166556735E+03      0.2547679628183790E-06
                           6                          14     -0.1192276550000000E+03      0.2306200000000000E+00     -0.1461071870489296E+03      0.3319797578298238E-06
                           6                          15     -0.1191529550000000E+03      0.5880000000000000E+00     -0.1554696573576117E+03      0.2945752067630974E-06
                           6                          16     -0.1192626490000000E+03      0.2314840000000000E+00     -0.1588730277508677E+03      0.3782941357416388E-06
                           6                          17     -0.1167699550000000E+03      0.9890000000000000E+00     -0.1609724213360259E+03      0.3988380264291686E-06
                           7                           3     -0.3643520900000000E+02      0.4000000000000000E+00     -0.5853000305809122E+02      0.3151748868299097E-06
                           7                           4     -0.5900299500000000E+02      0.4615600000000000E-01     -0.7645952689839524E+02      0.2267934002679670E-06
                           7                           5     -0.7403979699999999E+02      0.9959999999999999E-03     -0.8582199720707739E+02      0.3001295588505886E-06
                           7                           6     -0.9410370800000000E+02      0.2730000000000000E-03     -0.9648844432385744E+02      0.2197458835168348E-06
                           7                           7     -0.1046570850000000E+03      0.1000000000000000E-05     -0.1058509146325396E+03      0.2964666349021811E-06
                           7                           8     -0.1154903890000000E+03      0.1000000000000000E-05     -0.1165173617493196E+03      0.2130352867137369E-06
                           7                           9     -0.1179792250000000E+03      0.2304000000000000E-02     -0.1258798320580018E+03      0.2931722228822487E-06
