                           x                ground state                 1st excited                 2nd excited
     -0.1679197994987469E+02      0.3040742248459568E-19      0.2886852519794380E-13      0.3102781106213370E-02
     -0.1669172932330827E+02      0.4043158144726446E-19      0.3530011779584823E-13      0.3291133433856530E-02
     -0.1659147869674186E+02      0.5376001141559214E-19      0.4316079151128299E-13      0.3484801705496723E-02
     -0.1649122807017544E+02      0.7148167442136054E-19      0.5276808241893459E-13      0.3683759186391944E-02
     -0.1639097744360902E+02      0.9504415783611948E-19      0.6451008304225403E-13      0.3887978411656968E-02
     -0.1629072681704261E+02      0.1263737886353999E-18      0.7886111702974705E-13      0.4097431190054346E-02
     -0.1619047619047619E+02      0.1680292112318460E-18      0.9640090226247601E-13      0.4312088607885911E-02
     -0.1609022556390978E+02      0.2234154931803018E-18      0.1178379685116785E-12      0.4531921032984595E-02
     -0.1598997493734336E+02      0.2970567216759437E-18      0.1440382769227608E-12      0.4756898118804270E-02
     -0.1588972431077694E+02      0.3949720779216462E-18      0.1760602040669816E-12      0.4986988808609569E-02
     -0.1578947368421053E+02      0.5251610125980525E-18      0.2151972919009893E-12      0.5222161339762491E-02
     -0.1568922305764411E+02      0.6982604236122452E-18      0.2630305055863012E-12      0.5462383248107849E-02
     -0.1558897243107769E+02      0.9284163982222746E-18      0.3214920924596312E-12      0.5707621372454131E-02
     -0.1548872180451128E+02      0.1234433968832881E-17      0.3929436419942035E-12      0.5957841859150637E-02
     -0.1538847117794486E+02      0.1641317643491190E-17      0.4802714758478296E-12      0.6213010166762354E-02
     -0.1528822055137845E+02      0.2182315692569050E-17      0.5870032519861102E-12      0.6473091070837093E-02
     -0.1518796992481203E+02      0.2901631736714434E-17      0.7174504560686326E-12      0.6738048668767781E-02
     -0.1508771929824561E+02      0.3858040525601908E-17      0.8768825746997162E-12      0.7007846384749774E-02
     -0.1498746867167920E+02      0.5129695266858545E-17      0.1071739954524061E-11      0.7282446974828402E-02
     -0.1488721804511278E+02      0.6820499785570536E-17      0.1309893968173514E-11      0.7561812532041731E-02
     -0.1478696741854637E+02      0.9068607138964964E-17      0.1600964971929384E-11      0.7845904491652476E-02
     -0.1468671679197995E+02      0.1205771909464002E-16      0.1956710937375959E-11      0.8134683636471858E-02
     -0.1458646616541353E+02      0.1603207293179792E-16      0.2391502421341650E-11      0.8428110102273206E-02
     -0.1448621553884712E+02      0.2131641180156738E-16      0.2922903056935835E-11      0.8726143383295505E-02
     -0.1438596491228070E+02      0.2834253440496977E-16      0.3572379060633247E-11      0.9028742337834206E-02
     -0.1428571428571429E+02      0.3768453802068692E-16      0.4366166372428179E-11      0.9335865193921201E-02
     -0.1418546365914787E+02      0.5010575964420871E-16      0.5336330458573994E-11      0.9647469555090568E-02
     -0.1408521303258145E+02      0.6662114458127115E-16      0.6522061630001261E-11      0.9963512406232099E-02
     -0.1398496240601504E+02      0.8858018933566799E-16      0.7971258128873943E-11      0.1028395011952804E-01
     -0.1388471177944862E+02      0.1177771737083279E-15      0.9742461048248367E-11      0.1060873846047665E-01
     -0.1378446115288220E+02      0.1565977622115041E-15      0.1190721909293431E-10      0.1093783259399853E-01
     -0.1368421052631579E+02      0.2082140361225297E-15      0.1455297882216110E-10      0.1127118709062499E-01
     -0.1358395989974937E+02      0.2768436125248137E-15      0.1778661714703326E-10      0.1160875593276948E-01
     -0.1348370927318296E+02      0.3680942099972126E-15      0.2173875865574002E-10      0.1195049252108130E-01
     -0.1338345864661654E+02      0.4894219531646044E-15      0.2656905223419728E-10      0.1229634968087704E-01
     -0.1328320802005013E+02      0.6507406216670009E-15      0.3247262022514111E-10      0.1264627966865265E-01
     -0.1318295739348371E+02      0.8652316487009701E-15      0.3968794045697396E-10      0.1300023417867495E-01
     -0.1308270676691729E+02      0.1150421165232505E-14      0.4850647970534371E-10      0.1335816434965000E-01
     -0.1298245614035088E+02      0.1529612118265504E-14      0.5928446766837892E-10      0.1372002077146782E-01
     -0.1288220551378446E+02      0.2033788599554300E-14      0.7245728701342572E-10      0.1408575349202179E-01
     -0.1278195488721805E+02      0.2704146914934540E-14      0.8855706093795506E-10      0.1445531202410691E-01
     -0.1268170426065163E+02      0.3595462268927608E-14      0.1082341485308894E-09      0.1482864535238787E-01
     -0.1258145363408521E+02      0.4780564828079506E-14      0.1322834164598043E-09      0.1520570194044037E-01
     -0.1248120300751880E+02      0.6356289780044502E-14      0.1616763479580785E-09      0.1558642973786732E-01
     -0.1238095238095238E+02      0.8451390153134684E-14      0.1976002864321453E-09      0.1597077618748296E-01
     -0.1228070175438597E+02      0.1123705805104781E-13      0.2415063989410998E-09      0.1635868823256839E-01
     -0.1218045112781955E+02      0.1494091167512462E-13      0.2951682966931433E-09      0.1675011232419578E-01
     -0.1208020050125313E+02      0.1986559446740987E-13      0.3607536811947721E-09      0.1714499442861967E-01
     -0.1197994987468672E+02      0.2641350506123061E-13      0.4409119096975498E-09      0.1754328003473779E-01
     -0.1187969924812030E+02      0.3511967666904895E-13      0.5388810174133443E-09      0.1794491416161401E-01
     -0.1177944862155389E+02      0.4669549417737600E-13      0.6586185195231959E-09      0.1834984136606951E-01
     -0.1167919799498747E+02      0.6208682432445092E-13      0.8049612775637420E-09      0.1875800575033556E-01
     -0.1157894736842105E+02      0.8255130000463658E-13      0.9838208867483692E-09      0.1916935096977058E-01
     -0.1147869674185464E+02      0.1097610843441626E-12      0.1202422478033482E-08      0.1958382024063765E-01
     -0.1137844611528822E+02      0.1459395014203253E-12      0.1469596581503880E-08      0.2000135634794301E-01
     -0.1127819548872180E+02      0.1940427082515423E-12      0.1796135840118306E-08      0.2042190165333511E-01
     -0.1117794486215539E+02      0.2580012430359809E-12      0.2195230984540401E-08      0.2084539810306017E-01
     -0.1107769423558897E+02      0.3430411884952801E-12      0.2683003680033506E-08      0.2127178723597674E-01
     -0.1097744360902256E+02      0.4561112018618881E-12      0.3279157769361641E-08      0.2170101019162587E-01
     -0.1087719298245614E+02      0.6064502913925445E-12      0.4007775220837851E-08      0.2213300771835699E-01
     -0.1077694235588972E+02      0.8063427386513332E-12      0.4898288932054522E-08      0.2256772018150567E-01
     -0.1067669172932331E+02      0.1072121855655723E-11      0.5986671688061545E-08      0.2300508757162741E-01
     -0.1057644110275689E+02      0.1425504587583185E-11      0.7316889301341168E-08      0.2344504951278122E-01
     -0.1047619047619048E+02      0.1895366016530459E-11      0.8942676635047585E-08      0.2388754527086323E-01
     -0.1037593984962406E+02      0.2520098757337486E-11      0.1092970825112701E-07      0.2433251376199160E-01
     -0.1027568922305765E+02      0.3350750029503954E-11      0.1335825137112278E-07      0.2477989356093906E-01
     -0.1017543859649123E+02      0.4455192772178718E-11      0.1632640831311773E-07      0.2522962290961127E-01
     -0.1007518796992481E+02      0.5923671559041747E-11      0.1995407938901043E-07      0.2568163972557239E-01
     -0.9974937343358397E+01      0.7876176520316949E-11      0.2438780634231613E-07      0.2613588161061589E-01
     -0.9874686716791981E+01      0.1047224782247184E-10      0.2980669198052307E-07      0.2659228585937792E-01
     -0.9774436090225564E+01      0.1392401175910993E-10      0.3642963513221564E-07      0.2705078946799324E-01
     -0.9674185463659148E+01      0.1851351369528311E-10      0.4452417318371979E-07      0.2751132914279186E-01
     -0.9573934837092732E+01      0.2461576412710034E-10      0.5441728939502773E-07      0.2797384130903878E-01
     -0.9473684210526317E+01      0.3272938101985998E-10      0.6650862156836148E-07      0.2843826211970627E-01
     -0.9373433583959901E+01      0.4351733208893224E-10      0.8128660563401863E-07      0.2890452746429131E-01
     -0.9273182957393484E+01      0.5786110621743434E-10      0.9934820628425443E-07      0.2937257297766372E-01
     -0.9172932330827068E+01      0.7693274041677524E-10      0.1214230316860123E-06      0.2984233404895108E-01
     -0.9072681704260653E+01      0.1022905874874404E-09      0.1484028064008589E-06      0.3031374583045885E-01
     -0.8972431077694235E+01      0.1360066498528324E-09      0.1813773930815633E-06      0.3078674324662227E-01
     -0.8872180451127820E+01      0.1808358839424048E-09      0.2216788180644311E-06      0.3126126100298898E-01
     -0.8771929824561404E+01      0.2404413089477218E-09      0.2709350792999393E-06      0.3173723359523261E-01
     -0.8671679197994989E+01      0.3196933141326030E-09      0.3311359102113376E-06      0.3221459531819511E-01
     -0.8571428571428573E+01      0.4250676206356115E-09      0.4047131560597068E-06      0.3269328027495823E-01
     -0.8471177944862156E+01      0.5651744160261747E-09      0.4946390096499646E-06      0.3317322238593887E-01
     -0.8370927318295740E+01      0.7514618969074541E-09      0.6045460746758411E-06      0.3365435539800991E-01
     -0.8270676691729324E+01      0.9991517070184647E-09      0.7388741067208127E-06      0.3413661289364989E-01
     -0.8170426065162907E+01      0.1328482705113935E-08      0.9030493595933292E-06      0.3461992830010794E-01
     -0.8070175438596491E+01      0.1766364692512294E-08      0.1103703781792613E-05      0.3510423489859447E-01
     -0.7969924812030076E+01      0.2348577226545368E-08      0.1348942917687052E-05      0.3558946583349224E-01
