                      Radius                ground state               first excited              second excited
      0.3162907268170426E+01     -0.4617654503814300E+02     -0.3517585229929647E+02     -0.1857503547919125E+02
      0.3182957393483709E+01     -0.4621771486861175E+02     -0.3532788628496556E+02     -0.1886304662025861E+02
      0.3203007518796992E+01     -0.4625822987470190E+02     -0.3547770542986025E+02     -0.1914789935835117E+02
      0.3223057644110276E+01     -0.4629810369401745E+02     -0.3562534936635635E+02     -0.1942961041897897E+02
      0.3243107769423559E+01     -0.4633734961666028E+02     -0.3577085695758216E+02     -0.1970819813042628E+02
      0.3263157894736842E+01     -0.4637598059558381E+02     -0.3591426631015919E+02     -0.1998368227605568E+02
      0.3283208020050125E+01     -0.4641400925661037E+02     -0.3605561478708462E+02     -0.2025608395752631E+02
      0.3303258145363408E+01     -0.4645144790807302E+02     -0.3619493902052236E+02     -0.2052542546792731E+02
      0.3323308270676692E+01     -0.4648830855021083E+02     -0.3633227492473159E+02     -0.2079173017422860E+02
      0.3343358395989975E+01     -0.4652460288416722E+02     -0.3646765770878991E+02     -0.2105502240829779E+02
      0.3363408521303258E+01     -0.4656034232074911E+02     -0.3660112188948015E+02     -0.2131532736590552E+02
      0.3383458646616541E+01     -0.4659553798883415E+02     -0.3673270130393679E+02     -0.2157267101304586E+02
      0.3403508771929824E+01     -0.4663020074361567E+02     -0.3686242912233113E+02     -0.2182707999925080E+02
      0.3423558897243108E+01     -0.4666434117440292E+02     -0.3699033786039325E+02     -0.2207858157703726E+02
      0.3443609022556391E+01     -0.4669796961233103E+02     -0.3711645939185875E+02     -0.2232720352750202E+02
      0.3463659147869674E+01     -0.4673109613776428E+02     -0.3724082496082649E+02     -0.2257297409125107E+02
      0.3483709273182957E+01     -0.4676373058736111E+02     -0.3736346519388773E+02     -0.2281592190441037E+02
      0.3503759398496241E+01     -0.4679588256111089E+02     -0.3748441011228212E+02     -0.2305607593952242E+02
      0.3523809523809524E+01     -0.4682756142890908E+02     -0.3760368914370160E+02     -0.2329346545066672E+02
      0.3543859649122807E+01     -0.4685877633712742E+02     -0.3772133113414921E+02     -0.2352811992280897E+02
      0.3563909774436090E+01     -0.4688953621486146E+02     -0.3783736435948529E+02     -0.2376006902487796E+02
      0.3583959899749373E+01     -0.4691984977995246E+02     -0.3795181653687768E+02     -0.2398934256643536E+02
      0.3604010025062657E+01     -0.4694972554496988E+02     -0.3806471483610218E+02     -0.2421597045764488E+02
      0.3624060150375940E+01     -0.4697917182278049E+02     -0.3817608589060873E+02     -0.2443998267224920E+02
      0.3644110275689223E+01     -0.4700819673217654E+02     -0.3828595580847958E+02     -0.2466140921350248E+02
