                           x                ground state                 1st excited                 2nd excited
     -0.1418546365914787E+02      0.9893737115079093E-02      0.3170481318693250E-01      0.4808325043269432E-01
     -0.1408521303258145E+02      0.1020671166696993E-01      0.3245091440018903E-01      0.4847835144060628E-01
     -0.1398496240601504E+02      0.1052328744814962E-01      0.3318957664647953E-01      0.4882130879364767E-01
     -0.1388471177944862E+02      0.1084338673736521E-01      0.3392007458627959E-01      0.4911136483305642E-01
     -0.1378446115288220E+02      0.1116693094832155E-01      0.3464169089711654E-01      0.4934787876924831E-01
     -0.1368421052631579E+02      0.1149384064897406E-01      0.3535371697795496E-01      0.4953032809744312E-01
     -0.1358395989974937E+02      0.1182403558103084E-01      0.3605545364501937E-01      0.4965830975198213E-01
     -0.1348370927318296E+02      0.1215743467965550E-01      0.3674621181836292E-01      0.4973154099677076E-01
     -0.1338345864661654E+02      0.1249395609337003E-01      0.3742531319852238E-01      0.4974986004990372E-01
     -0.1328320802005013E+02      0.1283351720414887E-01      0.3809209093258179E-01      0.4971322644106934E-01
     -0.1318295739348371E+02      0.1317603464770280E-01      0.3874589026899943E-01      0.4962172110095545E-01
     -0.1308270676691729E+02      0.1352142433394490E-01      0.3938606920054824E-01      0.4947554618245889E-01
     -0.1298245614035088E+02      0.1386960146763614E-01      0.4001199909474595E-01      0.4927502461409399E-01
     -0.1288220551378446E+02      0.1422048056920180E-01      0.4062306531114603E-01      0.4902059938657460E-01
     -0.1278195488721805E+02      0.1457397549571794E-01      0.4121866780489567E-01      0.4871283257416821E-01
     -0.1268170426065163E+02      0.1492999946205988E-01      0.4179822171595606E-01      0.4835240409296358E-01
     -0.1258145363408521E+02      0.1528846506220906E-01      0.4236115794341488E-01      0.4794011019880609E-01
     -0.1248120300751880E+02      0.1564928429071036E-01      0.4290692370432195E-01      0.4747686172821371E-01
     -0.1238095238095238E+02      0.1601236856427935E-01      0.4343498307650175E-01      0.4696368208616534E-01
     -0.1228070175438597E+02      0.1637762874354918E-01      0.4394481752481043E-01      0.4640170498520255E-01
     -0.1218045112781955E+02      0.1674497515495521E-01      0.4443592641031825E-01      0.4579217194083968E-01
     -0.1208020050125313E+02      0.1711431761275045E-01      0.4490782748191906E-01      0.4513642952881766E-01
     -0.1197994987468672E+02      0.1748556544114616E-01      0.4536005734988163E-01      0.4443592641025939E-01
     -0.1187969924812030E+02      0.1785862749657384E-01      0.4579217194088444E-01      0.4369221013129760E-01
     -0.1177944862155389E+02      0.1823341219006157E-01      0.4620374693407710E-01      0.4290692370424858E-01
     -0.1167919799498747E+02      0.1860982750971929E-01      0.4659437817775004E-01      0.4208180197788294E-01
     -0.1157894736842105E+02      0.1898778104332832E-01      0.4696368208619486E-01      0.4121866780480953E-01
     -0.1147869674185464E+02      0.1936718000102954E-01      0.4731129601637254E-01      0.4031942801444324E-01
     -0.1137844611528822E+02      0.1974793123810326E-01      0.4763687862401711E-01      0.3938606920045280E-01
     -0.1127819548872180E+02      0.2012994127783695E-01      0.4794011019881996E-01      0.3842065333199346E-01
     -0.1117794486215539E+02      0.2051311633447508E-01      0.4822069297837676E-01      0.3742531319841948E-01
     -0.1107769423558897E+02      0.2089736233624332E-01      0.4847835144057901E-01      0.3640224769754352E-01
     -0.1097744360902256E+02      0.2128258494844285E-01      0.4871283257416525E-01      0.3535371697784718E-01
     -0.1087719298245614E+02      0.2166868959661243E-01      0.4892390612716935E-01      0.3428203744537884E-01
     -0.1077694235588972E+02      0.2205558148974576E-01      0.4911136483302121E-01      0.3318957664636693E-01
     -0.1067669172932331E+02      0.2244316564356200E-01      0.4927502461407322E-01      0.3207874803685560E-01
     -0.1057644110275689E+02      0.2283134690382688E-01      0.4941472476235817E-01      0.3095200565091505E-01
     -0.1047619047619048E+02      0.2322002996971327E-01      0.4953032809739930E-01      0.2981183867920884E-01
     -0.1037593984962406E+02      0.2360911941719702E-01      0.4962172110091658E-01      0.2866076596989211E-01
     -0.1027568922305765E+02      0.2399851972248528E-01      0.4968881402829565E-01      0.2750133046399330E-01
     -0.1017543859649123E+02      0.2438813528546762E-01      0.4973154099671646E-01      0.2633609357756649E-01
     -0.1007518796992481E+02      0.2477787045318666E-01      0.4974986004984627E-01      0.2516762954303054E-01
     -0.9974937343358397E+01      0.2516762954332073E-01      0.4974375319903899E-01      0.2399851972219660E-01
     -0.9874686716791981E+01      0.2555731686767594E-01      0.4971322644100135E-01      0.2283134690354140E-01
     -0.9774436090225564E+01      0.2594683675567731E-01      0.4965830975190260E-01      0.2166868959633115E-01
     -0.9674185463659148E+01      0.2633609357785625E-01      0.4957905705793737E-01      0.2051311633419897E-01
     -0.9573934837092732E+01      0.2672499176932787E-01      0.4947554618237720E-01      0.1936718000075956E-01
     -0.9473684210526317E+01      0.2711343585325381E-01      0.4934787876914577E-01      0.1823341218979827E-01
     -0.9373433583959901E+01      0.2750133046428192E-01      0.4919618018301058E-01      0.1711431761249427E-01
     -0.9273182957393484E+01      0.2788858037195910E-01      0.4902059938647921E-01      0.1601236856403024E-01
     -0.9172932330827068E+01      0.2827509050410984E-01      0.4882130879352270E-01      0.1492999946181814E-01
     -0.9072681704260653E+01      0.2866076597017875E-01      0.4859850410027354E-01      0.1386960146740268E-01
     -0.8972431077694235E+01      0.2904551208452596E-01      0.4835240409285584E-01      0.1283351720392443E-01
     -0.8872180451127820E+01      0.2942923438967315E-01      0.4808325043254784E-01      0.1182403558081651E-01
     -0.8771929824561404E+01      0.2981183867949250E-01      0.4779130741847854E-01      0.1084338673716135E-01
     -0.8671679197994989E+01      0.3019323102233675E-01      0.4747686172809491E-01      0.9893737114885852E-02
     -0.8571428571428573E+01      0.3057331778409730E-01      0.4714022213565550E-01      0.8977184672674311E-02
     -0.8471177944862156E+01      0.3095200565119553E-01      0.4678171920902598E-01      0.8095754251173716E-02
     -0.8370927318295740E+01      0.3132920165348869E-01      0.4640170498507331E-01      0.7251393099731004E-02
     -0.8270676691729324E+01      0.3170481318709540E-01      0.4600055262397708E-01      0.6445966574546331E-02
     -0.8170426065162907E+01      0.3207874803713222E-01      0.4557865604280029E-01      0.5681254017740159E-02
     -0.8070175438596491E+01      0.3245091440035008E-01      0.4513642952867805E-01      0.4958944826445478E-02
     -0.7969924812030076E+01      0.3282122090767491E-01      0.4467430733200312E-01      0.4280634720604851E-02
     -0.7869674185463660E+01      0.3318957664663836E-01      0.4419274324000427E-01      0.3647822217717571E-02
     -0.7769423558897245E+01      0.3355589118369767E-01      0.4369221013114750E-01      0.3061905322326189E-02
     -0.7669172932330827E+01      0.3392007458643652E-01      0.4317319951078569E-01      0.2524178437555686E-02
     -0.7568922305764412E+01      0.3428203744564513E-01      0.4263622102851593E-01      0.2035829505528378E-02
     -0.7468671679197996E+01      0.3464169089727129E-01      0.4208180197772516E-01      0.1597937382970799E-02
     -0.7368421052631579E+01      0.3499894664423540E-01      0.4151048677780490E-01      0.1211469457811647E-02
     -0.7268170426065163E+01      0.3535371697810916E-01      0.4092283643955274E-01      0.8772795120361529E-03
     -0.7167919799498748E+01      0.3570591480064719E-01      0.4031942801427913E-01      0.5961058355171650E-03
     -0.7067669172932332E+01      0.3605545364517234E-01      0.3970085402716408E-01      0.3685695949908553E-03
     -0.6967418546365916E+01      0.3640224769780196E-01      0.3906772189541925E-01      0.1951734617799731E-03
     -0.6867167919799499E+01      0.3674621181851600E-01      0.3842065333182590E-01      0.7630050129615914E-04
     -0.6766917293233083E+01      0.3708726156205960E-01      0.3776028373423693E-01      0.1221332677471247E-04
     -0.6666666666666668E+01      0.3742531319867562E-01      0.3708726156163582E-01      0.3053519111581121E-05
     -0.6566416040100250E+01      0.3776028373466016E-01      0.3640224769737679E-01      0.4884131408378678E-04
     -0.6466165413533835E+01      0.3809209093273649E-01      0.3570591480022077E-01      0.1494755576447749E-03
     -0.6365914786967419E+01      0.3842065333224860E-01      0.3499894664380729E-01      0.3047339293932075E-03
     -0.6265664160401004E+01      0.3874589026915638E-01      0.3428203744521554E-01      0.5142734337213740E-03
     -0.6165413533834588E+01      0.3906772189584061E-01      0.3355589118326614E-01      0.7776311575584732E-03
     -0.6065162907268171E+01      0.3938606920070747E-01      0.3282122090724198E-01      0.1094225293034823E-02
     -0.5964912280701755E+01      0.3970085402758392E-01      0.3207874803669758E-01      0.1463356422807106E-02
     -0.5864661654135340E+01      0.4001199909490711E-01      0.3132920165305281E-01      0.1884209065206067E-02
     -0.5764411027568922E+01      0.4031942801469682E-01      0.3057331778366139E-01      0.2355853475792024E-02
     -0.5664160401002507E+01      0.4062306531130976E-01      0.2981183867905671E-01      0.2877247701339549E-02
     -0.5563909774436091E+01      0.4092283643996813E-01      0.2904551208409057E-01      0.3447239881712389E-02
     -0.5463659147869675E+01      0.4121866780506255E-01      0.2827509050367499E-01      0.4064570794544180E-02
     -0.5363408521303260E+01      0.4151048677821798E-01      0.2750133046384867E-01      0.4727876637102474E-02
     -0.5263157894736842E+01      0.4179822171612658E-01      0.2672499176889662E-01      0.5435692039191677E-02
     -0.5162907268170427E+01      0.4208180197813577E-01      0.2594683675524944E-01      0.6186453300437915E-02
     -0.5062656641604011E+01      0.4236115794358972E-01      0.2516762954289611E-01      0.6978501844803396E-02
     -0.4962406015037594E+01      0.4263622102892470E-01      0.2438813528504801E-01      0.7810087884700168E-02
     -0.4862155388471178E+01      0.4290692370450189E-01      0.2360911941678343E-01      0.8679374286607765E-02
     -0.4761904761904763E+01      0.4317319951119167E-01      0.2283134690341990E-01      0.9584440629653711E-02
     -0.4661654135338347E+01      0.4343498307668640E-01      0.2205558148934546E-01      0.1052328744819360E-01
     -0.4561403508771932E+01      0.4369221013155029E-01      0.2128258494805020E-01      0.1149384064901463E-01
     -0.4461152882205514E+01      0.4394481752499958E-01      0.2051311633409081E-01      0.1249395609340702E-01
     -0.4360902255639099E+01      0.4419274324040335E-01      0.1974793123772716E-01      0.1352142433397809E-01
     -0.4260651629072683E+01      0.4443592641051092E-01      0.1898778104296076E-01      0.1457397549574711E-01
     -0.4160401002506266E+01      0.4467430733239629E-01      0.1823341218970240E-01      0.1564928429073634E-01
     -0.4060150375939850E+01      0.4490782748211330E-01      0.1748556544079559E-01      0.1674497515497787E-01
     -0.3959899749373434E+01      0.4513642952906533E-01      0.1674497515461292E-01      0.1785862749659214E-01
     -0.3859649122807017E+01      0.4536005735007687E-01      0.1601236856394488E-01      0.1898778104334174E-01
     -0.3759398496240603E+01      0.4557865604317813E-01      0.1528846506188259E-01      0.2012994127784574E-01
     -0.3659147869674186E+01      0.4579217194107856E-01      0.1457397549539959E-01      0.2128258494844682E-01
     -0.3558897243107772E+01      0.4600055262434507E-01      0.1386960146732644E-01      0.2244316564356113E-01
     -0.3458646616541355E+01      0.4620374693426967E-01      0.1317603464740188E-01      0.2360911941719228E-01
     -0.3358395989974937E+01      0.4640170498543002E-01      0.1249395609307804E-01      0.2477787045317899E-01
     -0.3258145363408524E+01      0.4659437817793789E-01      0.1182403558074762E-01      0.2594683675566794E-01
     -0.3157894736842106E+01      0.4678171920936900E-01      0.1116693094804757E-01      0.2711343585324290E-01
     -0.3057644110275689E+01      0.4696368208637729E-01      0.1052328744788504E-01      0.2827509050409766E-01
     -0.2957393483709275E+01      0.4714022213598353E-01      0.9893737114823846E-02      0.2942923438965987E-01
     -0.2857142857142858E+01      0.4731129601654801E-01      0.9278898144449092E-02      0.3057331778408270E-01
     -0.2756892230576440E+01      0.4747686172840700E-01      0.8679374286322249E-02      0.3170481318707945E-01
     -0.2656641604010026E+01      0.4763687862418532E-01      0.8095754251118886E-02      0.3282122090765686E-01
     -0.2556390977443609E+01      0.4779130741877454E-01      0.7528611132537789E-02      0.3392007458641591E-01
     -0.2456140350877195E+01      0.4794011019897954E-01      0.6978501844543850E-02      0.3499894664421228E-01
     -0.2355889724310778E+01      0.4808325043282526E-01      0.6445966574498382E-02      0.3605545364514520E-01
     -0.2255639097744361E+01      0.4822069297852662E-01      0.5931528252714665E-02      0.3708726156202598E-01
     -0.2155388471177947E+01      0.4835240409311355E-01      0.5435692038959428E-02      0.3809209093269474E-01
     -0.2055137844611529E+01      0.4847835144071815E-01      0.4958944826403883E-02      0.3906772189578987E-01
     -0.1954887218045116E+01      0.4859850410051035E-01      0.4501754763513028E-02      0.4001199909484727E-01
     -0.1854636591478698E+01      0.4871283257429254E-01      0.4064570794340625E-02      0.4092283643989907E-01
     -0.1754385964912281E+01      0.4882130879373887E-01      0.3647822217682134E-02      0.4179822171604639E-01
     -0.1654135338345867E+01      0.4892390612728637E-01      0.3251918265518701E-02      0.4263622102883229E-01
     -0.1553884711779450E+01      0.4902059938667487E-01      0.2877247701166875E-02      0.4343498307658209E-01
     -0.1453634085213032E+01      0.4911136483312876E-01      0.2524178437526640E-02      0.4419274324028694E-01
     -0.1353383458646618E+01      0.4919618018318662E-01      0.2193057175804486E-02      0.4490782748198797E-01
     -0.1253132832080201E+01      0.4927502461417151E-01      0.1884209065065476E-02      0.4557865604304567E-01
     -0.1152882205513784E+01      0.4934787876930363E-01      0.1597937382948316E-02      0.4620374693413335E-01
     -0.1052631578947370E+01      0.4941472476244928E-01      0.1334523237857915E-02      0.4678171920923334E-01
     -0.9523809523809526E+00      0.4947554618251655E-01      0.1094225292927380E-02      0.4731129601641536E-01
     -0.8521303258145387E+00      0.4953032809748249E-01      0.8772795120199047E-03      0.4779130741864695E-01
     -0.7518796992481214E+00      0.4957905705805931E-01      0.6838989280209861E-03      0.4822069297840823E-01
     -0.6516290726817040E+00      0.4962172110099410E-01      0.5142734336475576E-03      0.4859850410040342E-01
     -0.5513784461152902E+00      0.4965830975200679E-01      0.3685695949806152E-03      0.4892390612719133E-01
     -0.4511278195488728E+00      0.4968881402836599E-01      0.2469304879031501E-03      0.4919618018310162E-01
     -0.3508771929824590E+00      0.4971322644108826E-01      0.1494755576049386E-03      0.4941472476237233E-01
     -0.2506265664160416E+00      0.4973154099677996E-01      0.7630050129156701E-04      0.4957905705798945E-01
     -0.1503759398496243E+00      0.4974375319910751E-01      0.2747717421328915E-04      0.4968881402830233E-01
     -0.5012531328321046E-01      0.4974986004990183E-01      0.3053519105875154E-05      0.4974375319905228E-01
      0.5012531328320691E-01      0.4974986004989447E-01      0.3053519112505012E-05      0.4974375319904246E-01
      0.1503759398496243E+00      0.4974375319908671E-01      0.2747717423315901E-04      0.4968881402827290E-01
      0.2506265664160381E+00      0.4973154099674627E-01      0.7630050132467265E-04      0.4957905705794002E-01
      0.3508771929824555E+00      0.4971322644104133E-01      0.1494755576513385E-03      0.4941472476230287E-01
      0.4511278195488728E+00      0.4968881402830620E-01      0.2469304879628277E-03      0.4919618018301307E-01
      0.5513784461152866E+00      0.4965830975193489E-01      0.3685695950535044E-03      0.4892390612708406E-01
      0.6516290726817040E+00      0.4962172110090948E-01      0.5142734337336182E-03      0.4859850410027782E-01
      0.7518796992481178E+00      0.4957905705796384E-01      0.6838989281202440E-03      0.4822069297826422E-01
      0.8521303258145352E+00      0.4953032809737567E-01      0.8772795121323830E-03      0.4779130741848492E-01
      0.9523809523809526E+00      0.4947554618239741E-01      0.1094225293052867E-02      0.4731129601623588E-01
      0.1052631578947366E+01      0.4941472476231847E-01      0.1334523237996290E-02      0.4678171920903564E-01
      0.1152882205513784E+01      0.4934787876916150E-01      0.1597937383099536E-02      0.4620374693391716E-01
      0.1253132832080198E+01      0.4927502461401796E-01      0.1884209065229482E-02      0.4557865604281163E-01
      0.1353383458646615E+01      0.4919618018302075E-01      0.2193057175981224E-02      0.4490782748173653E-01
      0.1453634085213032E+01      0.4911136483295159E-01      0.2524178437715753E-02      0.4419274324001986E-01
      0.1553884711779446E+01      0.4902059938648570E-01      0.2877247701368209E-02      0.4343498307629851E-01
      0.1654135338345863E+01      0.4892390612708556E-01      0.3251918265732051E-02      0.4263622102853423E-01
