                           x                ground state                 1st excited                 2nd excited
     -0.1749373433583960E+02      0.4067984713496855E-65      0.7079402080888290E-58      0.1375114224211278E-50
     -0.1739348370927318E+02      0.5983428432226242E-67      0.1219267683443780E-59      0.2735241548176464E-52
     -0.1729323308270677E+02      0.3998807834763038E-68      0.4950761501742744E-61      0.6516506742838322E-54
     -0.1719298245614035E+02      0.3108530228263063E-66      0.5168880661018354E-59      0.9605762216566415E-52
     -0.1709273182957394E+02      0.1166207596772774E-68      0.1801479495919215E-61      0.3104059329411094E-54
     -0.1699248120300752E+02      0.6733543380354573E-69      0.1058303900692776E-61      0.1859343770069081E-54
     -0.1689223057644110E+02      0.1380604097353832E-68      0.2325858684103428E-61      0.4376255115932162E-54
     -0.1679197994987469E+02      0.2492304194492997E-70      0.4282578126114400E-63      0.8213744603498742E-56
     -0.1669172932330827E+02      0.3566684596658588E-70      0.6002967791178852E-63      0.1129030009595547E-55
     -0.1659147869674186E+02      0.3421330476867730E-71      0.5742086207260104E-64      0.1076529977411101E-56
     -0.1649122807017544E+02      0.1697784063153030E-72      0.2879167599244692E-65      0.5454329230532097E-58
     -0.1639097744360902E+02      0.6372981949756239E-74      0.1089366597747100E-66      0.2081636939952310E-59
     -0.1629072681704261E+02      0.1736957588287958E-75      0.3188235501116147E-68      0.6516087838009964E-61
     -0.1619047619047619E+02      0.7949180378297801E-76      0.1405654979610347E-68      0.2776486949519672E-61
     -0.1609022556390978E+02      0.1494198306264397E-75      0.2502700069711708E-68      0.4684705481036877E-61
     -0.1598997493734336E+02      0.6697155754985223E-77      0.1114541683959655E-69      0.2071902371060330E-62
     -0.1588972431077694E+02      0.1147970494782560E-78      0.2023132109167982E-71      0.3976365283521096E-64
     -0.1578947368421053E+02      0.9411882246338218E-80      0.1451164107513665E-72      0.2494551992183131E-65
     -0.1568922305764411E+02      0.1323829024978574E-80      0.2054639449471525E-73      0.3556523205540318E-66
     -0.1558897243107769E+02      0.3375634513869037E-81      0.5910991449857003E-74      0.1153180477124551E-66
     -0.1548872180451128E+02      0.4756229649878139E-81      0.7896792110076800E-74      0.1472622205244899E-66
     -0.1538847117794486E+02      0.2050997447286777E-84      0.7024472407125232E-77      0.1581984312244823E-69
     -0.1528822055137845E+02      0.4848208235533583E-84      0.8287367599608077E-77      0.1473392513318277E-69
     -0.1518796992481203E+02      0.3262336433118687E-83      0.1982283641500803E-77      0.3901269153816969E-70
     -0.1508771929824561E+02      0.1247901256202886E-82      0.1190672770863832E-80      0.2208301624645447E-73
     -0.1498746867167920E+02      0.1032309324508738E-81      0.1344833684985069E-78      0.2436670688564136E-71
     -0.1488721804511278E+02      0.1815563515652648E-81      0.3418445816453560E-78      0.6506771639033961E-71
     -0.1478696741854637E+02      0.2912535689828875E-80      0.8423851784918803E-78      0.1548529892833758E-70
     -0.1468671679197995E+02      0.8797430113363162E-79      0.1116768536612798E-77      0.1561644614739262E-70
     -0.1458646616541353E+02      0.3900488644611357E-78      0.1256139903300543E-78      0.2168941105935375E-72
     -0.1448621553884712E+02      0.3736975127976852E-77      0.4149301516195648E-78      0.1537394173678042E-70
     -0.1438596491228070E+02      0.1156215145180027E-76      0.5699784906146274E-78      0.4064255727647429E-72
     -0.1428571428571429E+02      0.5001537832657453E-76      0.6711551294653011E-76      0.1667405226277568E-72
     -0.1418546365914787E+02      0.9865855666125820E-76      0.1105942605910970E-76      0.3855656586544139E-71
     -0.1408521303258145E+02      0.1280032047341299E-74      0.2681112605305022E-76      0.4046279498034023E-71
     -0.1398496240601504E+02      0.2122067128845273E-73      0.4641756852823735E-74      0.1609437490993011E-71
     -0.1388471177944862E+02      0.1388214536646647E-72      0.1760216723261254E-73      0.3526435778010051E-70
     -0.1378446115288220E+02      0.6701048960707640E-72      0.1156780456773625E-72      0.2753050769541763E-70
     -0.1368421052631579E+02      0.2135638931933536E-71      0.3955604324037677E-72      0.6233944388152174E-71
     -0.1358395989974937E+02      0.8729892434439160E-71      0.2438036554594542E-71      0.2774757985995614E-71
     -0.1348370927318296E+02      0.2525353667541678E-70      0.7386291864437818E-71      0.2748287414413648E-71
     -0.1338345864661654E+02      0.1035192497014858E-69      0.9113493273577475E-70      0.1971340812224334E-73
     -0.1328320802005013E+02      0.6212793190006504E-70      0.1986348351203863E-71      0.1282239576138383E-69
     -0.1318295739348371E+02      0.2826321720996981E-68      0.5831795336685644E-69      0.5652633143380630E-68
     -0.1308270676691729E+02      0.1771232567633227E-67      0.1583779564077923E-68      0.2309578455539794E-67
     -0.1298245614035088E+02      0.2961655665740677E-68      0.7736250498524649E-71      0.2083471172258864E-66
     -0.1288220551378446E+02      0.5570628295878922E-66      0.5398093934937159E-67      0.2956842466416505E-65
     -0.1278195488721805E+02      0.1509773432966265E-65      0.2000033712274370E-66      0.2225639236752918E-64
     -0.1268170426065163E+02      0.5215684329348894E-66      0.1746666187043628E-65      0.3043471446864257E-63
     -0.1258145363408521E+02      0.2135768842736210E-66      0.1982850725926873E-64      0.3058114486250641E-62
     -0.1248120300751880E+02      0.1243170601763469E-64      0.1855039303061976E-63      0.3218968781708167E-61
     -0.1238095238095238E+02      0.9881442084502055E-65      0.1909010559615057E-62      0.3286586952379600E-60
     -0.1228070175438597E+02      0.6797840009069669E-64      0.2399574779045527E-61      0.3349901001802562E-59
     -0.1218045112781955E+02      0.2529360813850523E-63      0.2540553672910166E-60      0.3314638427513620E-58
     -0.1208020050125313E+02      0.6042604649956310E-62      0.2590307191846137E-59      0.3247144359936455E-57
     -0.1197994987468672E+02      0.8768527804633142E-61      0.2539434905530013E-58      0.3111904263825311E-56
     -0.1187969924812030E+02      0.9876196492801914E-60      0.2440202688700330E-57      0.2932352788519903E-55
     -0.1177944862155389E+02      0.9214161495726465E-59      0.2290427024408099E-56      0.2714313400042982E-54
     -0.1167919799498747E+02      0.8838098209491627E-58      0.2115248975446042E-55      0.2468196406939763E-53
     -0.1157894736842105E+02      0.8240152008984166E-57      0.1919773928683636E-54      0.2205367332853162E-52
     -0.1147869674185464E+02      0.7496423481281353E-56      0.1711153503015400E-53      0.1935814221345488E-51
     -0.1137844611528822E+02      0.6661674581490009E-55      0.1498186279056496E-52      0.1669291528046665E-50
     -0.1127819548872180E+02      0.5835883552823387E-54      0.1289031607540241E-51      0.1414035134312813E-49
     -0.1117794486215539E+02      0.5010339148077421E-53      0.1089550776120878E-50      0.1176611552512402E-48
     -0.1107769423558897E+02      0.4226826211658764E-52      0.9047567682604188E-50      0.9616798398547798E-48
     -0.1097744360902256E+02      0.3503668011504524E-51      0.7380763232986197E-49      0.7720287508829200E-47
     -0.1087719298245614E+02      0.2853239619524313E-50      0.5914737473871471E-48      0.6087271262443520E-46
     -0.1077694235588972E+02      0.2282886247344261E-49      0.4656058928400740E-47      0.4713883506913883E-45
     -0.1067669172932331E+02      0.1794488809021517E-48      0.3600246951503189E-46      0.3584947790483552E-44
     -0.1057644110275689E+02      0.1385774886385074E-47      0.2734382340756216E-45      0.2677412837179126E-43
     -0.1047619047619048E+02      0.1051294189521168E-46      0.2039771948655762E-44      0.1963618292632053E-42
